id,term,instructors
2582,20W,"[""O'Neill, T.P."",""Arisaka, K."",""Hauser, J.""]"
1348,20W,"[""Macdonald, G.M."",""Doughty, C.L."",""George, J.R.""]"
3814,20W,"[""Wink, M.""]"
2186,20W,"[""Maynard, H.D.""]"
1661,20W,"[""Pang, J.W.""]"
383,20W,"[""Kaplan, D.""]"
1567,20W,"[""Marks, V.E.""]"
1472,20W,"[""Porter, M.A.""]"
1462,20W,"[""Hirsch, A.M.""]"
2833,20W,"[""Marin, E."",""Wisniewski, T.C.""]"
3256,20W,"[""No instructors""]"
39,20W,"[""Leaf, D.""]"
2794,20W,"[""Bowie, J.U.""]"
2332,20W,"[""Mott, C.M.""]"
498,20W,"[""Gelvin, J.L.""]"
1594,20W,"[""Bortnik, J.""]"
4634,20W,"[""Marturano, J.""]"
2641,20W,"[""Spano, O.""]"
1492,20W,"[""Espino, V.R.""]"
4057119,20W,"[""van Schilfgaarde,""]"
5232,20W,"[""Anderson, C.R.""]"
1832,20W,"[""Baqaee, D.R.""]"
354,20W,"[""Khare, C.""]"
556,20W,"[""Weir, M.A.""]"
1620,20W,"[""No instructors""]"
1246,20W,"[""Beken, M.N."",""Bayot, D.""]"
2161,20W,"[""Milburn, D.S.""]"
3617,20W,"[""Lee, S.""]"
3291,20W,"[""Poole, E.J.""]"
3712,20W,"[""No instructors""]"
2667,20W,"[""Alfaro, M.E.""]"
3340,20W,"[""Anheier, H.K.""]"
4032027,20W,"[""Salem, B.E.""]"
483,20W,"[""Mo'E'Hahne, H.""]"
4549,20W,"[""Wayne, R.""]"
3429,20W,"[""Ng, L.C.""]"
2393195,20W,"[""Santos Da Silveira""]"
855,20W,"[""Sant, G.""]"
2690,20W,"[""Wallace, J.W.""]"
5062,20W,"[""Hart, L.K.""]"
4263,20W,"[""Bradley, K.A.""]"
2660104,20W,"[""Gelbart, W.M.""]"
1795,20W,"[""Leung, A.S.""]"
4265,20W,"[""Holguin, G.""]"
4306,20W,"[""Liesa-Roig, M.""]"
2295,20W,"[""Mahajan, G.""]"
2284,20W,"[""Chen-Hafteck, L.""]"
5047,20W,"[""Stern, E.I.""]"
4297,20W,"[""Hasson, T.W."",""Razinia, Z.""]"
3560,20W,"[""Bain, B.R.""]"
2576,20W,"[""No instructors""]"
4202,20W,"[""Menzies, R.B.""]"
2660415,20W,"[""Cahill, C.M.""]"
4547,20W,"[""Jones, D.L.""]"
1628,20W,"[""Zhou, Q."",""Eggert, P.R.""]"
3300,20W,"[""Hser, Y.""]"
2589,20W,"[""Needleman, J."",""Godwin, J.R.""]"
160,20W,"[""Kroskrity, P.V.""]"
3492,20W,"[""Lee, S.""]"
3180,20W,"[""Tripati, A.K.""]"
4466,20W,"[""Rundel, P.W.""]"
2568,20W,"[""Morrison, C.L.""]"
2809,20W,"[""Wang, L.S.""]"
2257438,20W,"[""Kornblum, H.I.""]"
2656457,20W,"[""Yee-Bradbury, C.M.""]"
3193,20W,"[""Beken, M.N."",""Yuan, Y.""]"
2124851,20W,"[""Lieberman, M.D.""]"
479,20W,"[""Bell, S.A.""]"
2511,20W,"[""Shaked, S."",""Shevtsov, Y.""]"
3269,20W,"[""Zhou, Q.""]"
5114,20W,"[""Salazar, R.""]"
3534,20W,"[""Markovic, D.""]"
1459,20W,"[""Blasius, D.M.""]"
3887,20W,"[""Ercegovac, M.D.""]"
249,20W,"[""Mc Craney, W.T.""]"
1985,20W,"[""Lange, K.L."",""Sehl, M.E.""]"
5448,20W,"[""Scerri, E.R.""]"
2418,20W,"[""No instructors""]"
3944,20W,"[""Adams, H.A.""]"
723,20W,"[""Yee-Bradbury, C.M."",""Reed, A.C.""]"
721,20W,"[""Lazar, J."",""Stuber, M.L.""]"
4216,20W,"[""Witte, O.N.""]"
1643,20W,"[""Longstaff, F.A.""]"
2273,20W,"[""Winkle, M.D."",""Stein, D.""]"
3692,20W,"[""Brubaker, W.R.""]"
3914,20W,"[""Ghoniem, N.M.""]"
3081,20W,"[""Kim, J.""]"
3247,20W,"[""Marks, A.S.""]"
1681,20W,"[""Neuhauser, D.""]"
2954,20W,"[""Distefano, J.""]"
4517,20W,"[""Lewis, M.A."",""Thomas, E.A."",""Fierro, J.M.""]"
252,20W,"[""Akin, O.""]"
4474,20W,"[""Takatsuka, Y.""]"
2669876,20W,"[""Ingenito, D.""]"
2433605,20W,"[""Jacobsen, S.E.""]"
3206,20W,"[""Xue, Y.""]"
3419,20W,"[""Levine, A.J.""]"
3294,20W,"[""Tienson-Tseng, H.L""]"
1971,20W,"[""Watson, D.C.""]"
3564,20W,"[""Li, X.""]"
337,20W,"[""Freeman, S.""]"
3566,20W,"[""Lloyd-Smith, J.O.""]"
3461,20W,"[""Callaghan, B.""]"
1026,20W,"[""Phillips, D.D.""]"
3418,20W,"[""de Shazo, G.M.""]"
2527627,20W,"[""Ellis, A.J.""]"
2585,20W,"[""Mckee, C.T."",""Jansma, K.""]"
1607,20W,"[""Hussain, S.K.""]"
3674,20W,"[""Zhou, H.""]"
442,20W,"[""Clarke, S.G.""]"
3556,20W,"[""Wikenheiser, A.M.""]"
3385,20W,"[""Kwon, O.""]"
4360,20W,"[""Martin, E.E.""]"
298,20W,"[""Kusenko, A.""]"
399,20W,"[""Li, J.""]"
1152,20W,"[""Kasari, C.L.""]"
4082,20W,"[""Lin, S.""]"
5045,20W,"[""Li, J.""]"
53,20W,"[""Marks, V.E."",""Karpicz, J.R.""]"
2854,20W,"[""Stefans, B.K.""]"
2247329,20W,"[""Caram, J.R.""]"
1282,20W,"[""Jacobs, D.K.""]"
3812984,20W,"[""Macfadyen, D.W.""]"
4180,20W,"[""Sork, V.""]"
127,20W,"[""Delozier, J."",""Lavagnino, C.G.""]"
2655,20W,"[""Sohn, S.S.""]"
4757,20W,"[""Courey, A.J.""]"
