section_id,enrollment_count,created_at
5858840,18,2019-10-03T07:00:56.369+00:00
5860371,44,2019-10-03T07:00:56.370473+00:00
5858929,112,2019-10-03T07:00:56.373512+00:00
5858948,178,2019-10-03T07:00:56.526662+00:00
5860790,269,2019-10-03T07:00:56.529089+00:00
5858883,17,2019-10-03T07:00:58.208097+00:00
5862477,43,2019-10-03T07:00:58.208548+00:00
5860761,45,2019-10-03T07:00:58.974656+00:00
5858396,148,2019-10-03T07:01:01.807615+00:00
5863035,20,2019-10-03T07:01:01.815996+00:00
5863022,150,2019-10-03T07:01:01.886854+00:00
5865871,303,2019-10-03T07:01:05.828138+00:00
5864636,107,2019-10-03T07:01:05.897826+00:00
5858690,5,2019-10-03T07:01:05.899532+00:00
5866449,240,2019-10-03T07:01:05.989943+00:00
5858518,412,2019-10-03T07:01:07.141423+00:00
5865935,24,2019-10-03T07:01:08.744581+00:00
5866493,39,2019-10-03T07:01:09.641731+00:00
5863628,242,2019-10-03T07:01:10.743968+00:00
5868379,366,2019-10-03T07:01:14.960988+00:00
5865191,3,2019-10-03T07:01:16.933463+00:00
5866539,38,2019-10-03T07:01:17.523505+00:00
5866271,347,2019-10-03T07:01:20.066568+00:00
5867288,56,2019-10-03T07:01:23.006249+00:00
5864469,14,2019-10-03T07:01:23.028837+00:00
5866458,8,2019-10-03T07:01:24.903875+00:00
5866167,24,2019-10-03T07:01:25.530228+00:00
5865665,8,2019-10-03T07:01:25.824107+00:00
5866889,10,2019-10-03T07:01:26.083532+00:00
5862062,8,2019-10-03T07:01:27.323719+00:00
5858376,198,2019-10-03T07:01:28.222258+00:00
5860857,17,2019-10-03T07:01:28.226179+00:00
5859857,135,2019-10-03T07:01:29.151569+00:00
5859786,169,2019-10-03T07:01:31.183232+00:00
5861452,88,2019-10-03T07:01:31.184653+00:00
5859108,11,2019-10-03T07:01:31.368051+00:00
5861472,96,2019-10-03T07:01:31.50357+00:00
5864203,99,2019-10-03T07:01:32.673755+00:00
5861654,9,2019-10-03T07:01:33.263738+00:00
5865663,4,2019-10-03T07:01:34.905288+00:00
5862259,191,2019-10-03T07:01:35.46392+00:00
5868409,123,2019-10-03T07:01:35.65135+00:00
5860998,22,2019-10-03T07:01:36.427752+00:00
5861643,62,2019-10-03T07:01:38.245728+00:00
5862829,105,2019-10-03T07:01:39.530117+00:00
5861389,69,2019-10-03T07:01:40.140973+00:00
5863875,100,2019-10-03T07:01:40.290865+00:00
5859193,3,2019-10-03T07:01:42.261588+00:00
5860775,224,2019-10-03T07:01:43.44586+00:00
5866107,24,2019-10-03T07:01:43.447726+00:00
5859906,39,2019-10-03T07:01:43.453063+00:00
5862439,28,2019-10-03T07:01:44.850862+00:00
5859816,150,2019-10-03T07:01:45.742734+00:00
5867430,20,2019-10-03T07:01:47.454806+00:00
5867595,148,2019-10-03T07:01:47.781143+00:00
5859568,27,2019-10-03T07:01:47.835125+00:00
5860023,131,2019-10-03T07:01:48.531088+00:00
5863323,20,2019-10-03T07:01:48.684671+00:00
5862783,117,2019-10-03T07:01:50.164126+00:00
5858556,22,2019-10-03T07:01:50.820814+00:00
5864736,23,2019-10-03T07:01:51.623297+00:00
5858900,4,2019-10-03T07:01:52.064875+00:00
5867458,32,2019-10-03T07:01:52.128535+00:00
5866756,44,2019-10-03T07:01:52.263734+00:00
5858554,20,2019-10-03T07:01:56.320654+00:00
5861256,16,2019-10-03T07:01:57.21485+00:00
5864781,272,2019-10-03T07:01:57.288912+00:00
5868257,47,2019-10-03T07:01:57.441432+00:00
5858944,3,2019-10-03T07:01:57.536466+00:00
5866270,46,2019-10-03T07:01:58.467351+00:00
5866468,274,2019-10-03T07:01:58.562421+00:00
5859195,5,2019-10-03T07:02:01.525361+00:00
5867019,50,2019-10-03T07:02:01.726854+00:00
5865449,147,2019-10-03T07:02:02.173381+00:00
5861437,100,2019-10-03T07:02:06.6048+00:00
5868405,29,2019-10-03T07:02:06.607705+00:00
5858527,83,2019-10-03T07:02:06.611701+00:00
5859245,53,2019-10-03T07:02:06.848956+00:00
5858586,72,2019-10-03T07:02:07.24797+00:00
5862158,36,2019-10-03T07:02:07.370275+00:00
5861306,228,2019-10-03T07:02:08.783822+00:00
5866462,150,2019-10-03T07:02:11.204845+00:00
5865859,178,2019-10-03T07:02:11.702028+00:00
5862087,133,2019-10-03T07:02:12.661587+00:00
5864161,6,2019-10-03T07:02:13.504166+00:00
5859726,194,2019-10-03T07:02:13.6618+00:00
5858565,149,2019-10-03T07:02:17.204601+00:00
5866536,31,2019-10-03T07:02:17.215319+00:00
5864250,56,2019-10-03T07:02:17.22609+00:00
5861149,31,2019-10-03T07:02:18.151483+00:00
5867494,162,2019-10-03T07:02:19.369677+00:00
5862627,7,2019-10-03T07:02:20.963329+00:00
5866814,179,2019-10-03T07:02:21.301565+00:00
5868427,18,2019-10-03T07:02:21.730559+00:00
5859084,21,2019-10-03T07:02:21.752536+00:00
5867134,40,2019-10-03T07:02:21.838673+00:00
5858839,85,2019-10-03T07:02:21.891348+00:00
5868453,3,2019-10-03T07:02:21.892711+00:00
5861971,10,2019-10-03T07:02:24.410298+00:00
5864269,9,2019-10-03T07:02:24.56639+00:00
5865074,28,2019-10-03T07:02:25.194086+00:00
5858950,15,2019-10-03T07:02:28.562859+00:00
5862545,104,2019-10-03T07:02:29.625348+00:00
5864540,20,2019-10-03T07:02:30.056502+00:00
5862492,304,2019-10-03T08:00:09.333899+00:00
5864007,29,2019-10-03T08:00:10.716263+00:00
5867705,24,2019-10-03T08:00:14.474947+00:00
5860084,42,2019-10-03T08:00:17.211751+00:00
5865655,7,2019-10-03T08:00:18.33973+00:00
5860997,25,2019-10-03T08:00:18.461081+00:00
5864060,14,2019-10-03T08:00:19.780492+00:00
5858268,156,2019-10-03T08:00:22.799888+00:00
5866819,130,2019-10-03T08:00:24.652605+00:00
5868401,225,2019-10-03T08:00:38.908862+00:00
5860597,199,2019-10-03T08:00:58.760001+00:00
5858354,45,2019-10-03T08:00:59.480603+00:00
5861060,207,2019-10-03T08:01:00.078068+00:00
5861666,96,2019-10-03T08:01:00.991285+00:00
5858550,25,2019-10-03T08:01:01.647088+00:00
5859045,69,2019-10-03T08:01:08.146397+00:00
5861436,48,2019-10-03T08:01:25.769433+00:00
5864617,119,2019-10-03T08:01:26.08831+00:00
5863898,74,2019-10-03T08:01:34.468856+00:00
5865871,304,2019-10-03T08:01:35.633969+00:00
5858518,411,2019-10-03T08:01:36.789399+00:00
5866424,19,2019-10-03T08:01:37.232983+00:00
5868379,367,2019-10-03T08:01:44.674444+00:00
5858640,8,2019-10-03T08:01:47.914709+00:00
5860497,16,2019-10-03T08:01:49.487471+00:00
5868422,1,2019-10-03T08:01:49.962851+00:00
5868409,122,2019-10-03T08:01:58.03485+00:00
5859743,121,2019-10-03T08:01:58.037132+00:00
5862087,132,2019-10-03T08:01:59.251723+00:00
5862196,64,2019-10-03T08:02:02.649718+00:00
5860775,225,2019-10-03T08:02:10.145378+00:00
5862635,8,2019-10-03T08:02:10.154405+00:00
5867430,19,2019-10-03T08:02:11.890852+00:00
5867020,37,2019-10-03T08:02:17.710599+00:00
5865604,32,2019-10-03T08:02:19.456013+00:00
5864781,271,2019-10-03T08:02:20.290853+00:00
5865747,104,2019-10-03T08:02:22.168937+00:00
5866076,335,2019-10-03T08:02:22.573395+00:00
5862057,9,2019-10-03T08:02:24.127058+00:00
5864508,75,2019-10-03T08:02:27.289369+00:00
5860089,49,2019-10-03T08:02:29.840171+00:00
5866462,149,2019-10-03T08:02:33.354211+00:00
5865859,179,2019-10-03T08:02:34.491708+00:00
5861654,10,2019-10-03T08:02:35.789639+00:00
5858565,150,2019-10-03T08:02:44.824536+00:00
5858839,86,2019-10-03T08:02:46.570331+00:00
5858186,703,2019-10-03T08:02:48.047797+00:00
5865074,27,2019-10-03T08:02:48.500065+00:00
5861971,11,2019-10-03T08:02:49.509502+00:00
5865063,144,2019-10-03T10:00:12.923851+00:00
5860530,51,2019-10-03T10:00:14.802975+00:00
5861666,97,2019-10-03T10:00:16.926021+00:00
5866950,150,2019-10-03T10:00:17.945937+00:00
5860586,58,2019-10-03T10:00:21.084722+00:00
5859941,158,2019-10-03T10:00:44.803576+00:00
5864436,117,2019-10-03T10:00:48.698847+00:00
5864617,120,2019-10-03T10:00:50.345254+00:00
5864397,21,2019-10-03T10:01:19.343318+00:00
5861383,32,2019-10-03T10:01:24.028754+00:00
5866285,80,2019-10-03T10:01:27.708704+00:00
5864573,34,2019-10-03T10:01:48.582171+00:00
5858684,3,2019-10-03T10:01:49.122399+00:00
5867373,68,2019-10-03T10:01:52.984873+00:00
5858948,179,2019-10-03T10:02:01.029693+00:00
5860761,44,2019-10-03T10:02:03.322848+00:00
5861306,226,2019-10-03T10:02:04.406513+00:00
5862405,391,2019-10-03T10:02:10.421575+00:00
5866649,29,2019-10-03T10:02:12.722113+00:00
5867065,4,2019-10-03T10:02:14.81193+00:00
5865215,338,2019-10-03T11:01:53.72448+00:00
5865887,159,2019-10-03T11:01:58.432056+00:00
5861306,225,2019-10-03T11:02:10.274228+00:00
5865859,178,2019-10-03T11:02:10.942616+00:00
5862087,131,2019-10-03T11:02:15.240167+00:00
5866574,290,2019-10-03T11:02:28.134847+00:00
5865419,50,2019-10-03T12:00:13.062156+00:00
5862204,34,2019-10-03T12:00:13.148794+00:00
5867290,12,2019-10-03T12:00:36.002858+00:00
5861870,175,2019-10-03T12:00:36.011668+00:00
5858627,7,2019-10-03T12:01:14.009754+00:00
5867018,228,2019-10-03T13:00:49.372526+00:00
5859377,81,2019-10-03T13:01:39.72462+00:00
5866462,148,2019-10-03T13:02:10.356732+00:00
5865354,189,2019-10-03T14:00:41.730415+00:00
5862649,42,2019-10-03T14:00:52.841579+00:00
5864881,75,2019-10-03T14:00:56.311878+00:00
5865215,339,2019-10-03T14:01:24.589575+00:00
5858376,197,2019-10-03T14:01:24.600782+00:00
5867430,18,2019-10-03T14:01:52.104262+00:00
5862854,274,2019-10-03T14:01:55.121809+00:00
5859490,118,2019-10-03T14:02:12.447631+00:00
5864644,24,2019-10-03T15:00:16.61843+00:00
5864634,356,2019-10-03T15:00:17.199425+00:00
5867660,29,2019-10-03T15:00:25.121455+00:00
5861273,12,2019-10-03T15:00:27.238848+00:00
5867705,25,2019-10-03T15:00:28.875898+00:00
5865354,188,2019-10-03T15:00:39.020146+00:00
5864121,10,2019-10-03T15:00:39.818774+00:00
5867158,25,2019-10-03T15:00:44.041962+00:00
5862545,103,2019-10-03T15:00:56.950601+00:00
5865755,134,2019-10-03T15:01:04.362861+00:00
5865665,0,2019-10-03T15:01:24.976591+00:00
5861654,11,2019-10-03T15:01:39.021398+00:00
5868168,120,2019-10-03T15:01:42.118838+00:00
5866076,336,2019-10-03T15:01:42.878589+00:00
5866748,24,2019-10-03T15:01:52.846052+00:00
5864074,17,2019-10-03T15:02:10.422855+00:00
5865859,179,2019-10-03T15:02:11.879693+00:00
5862405,392,2019-10-03T15:02:14.92376+00:00
5866194,16,2019-10-03T15:02:23.561348+00:00
5863951,13,2019-10-03T15:02:24.14082+00:00
5864634,357,2019-10-03T16:00:11.718158+00:00
5863981,14,2019-10-03T16:00:18.301356+00:00
5859631,6,2019-10-03T16:00:20.65264+00:00
5868229,136,2019-10-03T16:00:28.431458+00:00
5868379,368,2019-10-03T16:00:32.495824+00:00
5866539,39,2019-10-03T16:00:32.806841+00:00
5862117,49,2019-10-03T16:00:38.873099+00:00
5861396,156,2019-10-03T16:00:40.146683+00:00
5863993,25,2019-10-03T16:00:43.042853+00:00
5864422,49,2019-10-03T16:00:43.107273+00:00
5859735,120,2019-10-03T16:00:43.121575+00:00
5861064,52,2019-10-03T16:00:43.125953+00:00
5858402,23,2019-10-03T16:00:43.546234+00:00
5865063,143,2019-10-03T16:00:46.118858+00:00
5863704,143,2019-10-03T16:00:47.352444+00:00
5858824,13,2019-10-03T16:00:47.633676+00:00
5863736,159,2019-10-03T16:00:47.650851+00:00
5862139,27,2019-10-03T16:00:50.417852+00:00
5866356,43,2019-10-03T16:00:51.306104+00:00
5865280,43,2019-10-03T16:00:51.615725+00:00
5860123,13,2019-10-03T16:00:52.799536+00:00
5868401,224,2019-10-03T16:00:52.803512+00:00
5868431,2,2019-10-03T16:00:57.19364+00:00
5860498,15,2019-10-03T16:00:57.897734+00:00
5858997,264,2019-10-03T16:00:59.815325+00:00
5864239,33,2019-10-03T16:01:00.396989+00:00
5868475,2,2019-10-03T16:01:00.91598+00:00
5864777,19,2019-10-03T16:01:02.385679+00:00
5863407,23,2019-10-03T16:01:02.4814+00:00
5861753,22,2019-10-03T16:01:05.058843+00:00
5859228,46,2019-10-03T16:01:05.272669+00:00
5866449,239,2019-10-03T16:01:08.672044+00:00
5859521,18,2019-10-03T16:01:08.976449+00:00
5860428,56,2019-10-03T16:01:09.334871+00:00
5859450,24,2019-10-03T16:01:13.202265+00:00
5863282,14,2019-10-03T16:01:16.096909+00:00
5866924,27,2019-10-03T16:01:16.268622+00:00
5859685,181,2019-10-03T16:01:20.026205+00:00
5859393,2,2019-10-03T16:01:21.768617+00:00
5862218,86,2019-10-03T16:01:25.032478+00:00
5866778,5,2019-10-03T16:01:25.033355+00:00
5865451,29,2019-10-03T16:01:28.816847+00:00
5863085,120,2019-10-03T16:01:28.837377+00:00
5858640,9,2019-10-03T16:01:29.182764+00:00
5867108,4,2019-10-03T16:01:30.820064+00:00
5865164,342,2019-10-03T16:01:32.954579+00:00
5865215,335,2019-10-03T16:01:33.073001+00:00
5858376,198,2019-10-03T16:01:33.081237+00:00
5860857,16,2019-10-03T16:01:33.254382+00:00
5866285,81,2019-10-03T16:01:33.434192+00:00
5863029,39,2019-10-03T16:01:36.410769+00:00
5865014,57,2019-10-03T16:01:36.466851+00:00
5864451,7,2019-10-03T16:01:39.854852+00:00
5859219,55,2019-10-03T16:01:40.379282+00:00
5866414,191,2019-10-03T16:01:42.17302+00:00
5859688,0,2019-10-03T16:01:45.937064+00:00
5862783,116,2019-10-03T16:01:48.833253+00:00
5858484,39,2019-10-03T16:01:49.462573+00:00
5858526,36,2019-10-03T16:01:49.754368+00:00
5858584,36,2019-10-03T16:01:49.858789+00:00
5867451,20,2019-10-03T16:01:52.142381+00:00
5864118,92,2019-10-03T16:01:52.558068+00:00
5861692,17,2019-10-03T16:01:52.565733+00:00
5867400,95,2019-10-03T16:01:53.012812+00:00
5867361,39,2019-10-03T16:01:53.024948+00:00
5862582,15,2019-10-03T16:01:53.29495+00:00
5865695,105,2019-10-03T16:01:57.210693+00:00
5866742,239,2019-10-03T16:02:01.937328+00:00
5859174,43,2019-10-03T16:02:02.836596+00:00
5861401,56,2019-10-03T16:02:03.839627+00:00
5861306,224,2019-10-03T16:02:06.70045+00:00
5862854,275,2019-10-03T16:02:10.874618+00:00
5858565,149,2019-10-03T16:02:14.596092+00:00
5861149,32,2019-10-03T16:02:14.836446+00:00
5866536,30,2019-10-03T16:02:15.679212+00:00
5866846,13,2019-10-03T16:02:15.720856+00:00
5866887,9,2019-10-03T16:02:15.753042+00:00
5865895,12,2019-10-03T16:02:17.453511+00:00
5859999,28,2019-10-03T16:02:18.016992+00:00
5858260,19,2019-10-03T16:02:18.535879+00:00
5858839,87,2019-10-03T16:02:18.820411+00:00
5865074,28,2019-10-03T16:02:21.017939+00:00
5864621,12,2019-10-03T16:02:22.537675+00:00
5860644,6,2019-10-03T16:02:23.376584+00:00
5862377,30,2019-10-03T16:02:25.096244+00:00
5860097,34,2019-10-03T16:02:25.513339+00:00
5862674,26,2019-10-03T16:02:25.694075+00:00
5867198,25,2019-10-03T16:02:26.813971+00:00
5858272,23,2019-10-03T17:00:20.436567+00:00
5860893,115,2019-10-03T17:00:21.334781+00:00
